Age Group,Birthdate,City,Department,Education Level,Employee ID,First Name,FULL name,Gender,Hiredate,Job Title,Last Name,LOCATION,Performance Rating,State,status,Termdate,Age,length of hire,Salary,Total Active,Total Hired,Total terminated
25-35,1/4/1993,Rochester,Marketing,H- S,00-70335130,Kevin,Kevin Lewis,Female,11/15/2017,Content Creator,Lewis,HQ,Needs Improvement,New York,HIRED,,31,7,60850,1,1,0
25-35,6/14/1995,Rochester,Marketing,H- S,00-15711620,Albert,Albert Wilson,Female,4/25/2019,SEO Specialist,Wilson,HQ,Needs Improvement,New York,HIRED,,29,5,79789,1,1,0
45-54,2/14/1978,Rochester,Marketing,H- S,00-41728577,Eric,Eric Evans,Female,11/8/2022,SEO Specialist,Evans,HQ,Needs Improvement,New York,HIRED,,46,2,73478,1,1,0
25-35,8/24/1998,Rochester,Marketing,H- S,00-23556377,Erik,Erik Andrews,Female,4/30/2020,SEO Specialist,Andrews,HQ,Needs Improvement,New York,HIRED,,26,4,79966,1,1,0
45-54,5/1/1977,Rochester,Marketing,H- S,00-84464967,Kathryn,Kathryn Ramos,Female,12/25/2023,SEO Specialist,Ramos,HQ,Needs Improvement,New York,HIRED,,47,1,66533,1,1,0
>25,6/15/2003,Rochester,Marketing,H- S,00-87935179,Kylie,Kylie Jones,Female,7/28/2022,SEO Specialist,Jones,HQ,Needs Improvement,New York,HIRED,,21,2,55756,1,1,0
45-54,4/26/1970,Charlotte,Marketing,H- S,00-32833506,Shannon,Shannon Forbes,Female,1/15/2024,SEO Specialist,Forbes,BRANCH,Needs Improvement,North Carolina,HIRED,,54,0,82118,1,1,0
35-44,7/1/1986,Raleigh,Marketing,H- S,00-77742871,Patrick,Patrick Wallace,Female,3/29/2017,Content Creator,Wallace,BRANCH,Needs Improvement,North Carolina,HIRED,,38,7,55599,1,1,0
35-44,11/20/1985,Columbus,Marketing,H- S,00-53390242,Scott,Scott Jensen,Female,8/19/2022,Content Creator,Jensen,BRANCH,Needs Improvement,Ohio,HIRED,,39,2,57788,1,1,0
45-54,2/12/1977,Philadelphia,Marketing,H- S,00-21222980,Christian,Christian Hill,Female,3/29/2020,SEO Specialist,Hill,BRANCH,Needs Improvement,Pennsylvania,HIRED,,47,4,73166,1,1,0
35-44,3/6/1980,Chicago,Operations,H- S,00-23082934,Jacqueline,Jacqueline Pace,Female,12/18/2023,Inventory Specialist,Pace,BRANCH,Needs Improvement,Illinois,HIRED,,44,1,64134,1,1,0
55+,5/6/1962,Naperville,Operations,H- S,00-98139894,Alexander,Alexander Nelson,Female,9/9/2019,Inventory Specialist,Nelson,BRANCH,Needs Improvement,Illinois,HIRED,,62,5,56233,1,1,0
55+,6/5/1966,Detroit,Operations,H- S,00-31843423,Joseph,Joseph Rivera,Female,9/27/2015,Inventory Specialist,Rivera,BRANCH,Needs Improvement,Michigan,HIRED,,58,9,54032,1,1,0
45-54,12/31/1978,Detroit,Operations,H- S,00-40657783,Patrick,Patrick Simmons,Female,5/18/2017,Inventory Specialist,Simmons,BRANCH,Needs Improvement,Michigan,HIRED,,46,7,60755,1,1,0
55+,1/23/1968,Warren,Operations,H- S,00-93842238,Erica,Erica Clay,Female,1/11/2017,Inventory Specialist,Clay,BRANCH,Needs Improvement,Michigan,HIRED,,56,7,55205,1,1,0
25-35,9/21/1991,Warren,Operations,H- S,00-80270865,Richard,Richard Hawkins,Female,5/1/2020,Inventory Specialist,Hawkins,BRANCH,Needs Improvement,Michigan,HIRED,,33,4,58107,1,1,0
45-54,7/31/1974,Buffalo,Operations,H- S,00-83677009,Andrea,Andrea Carroll,Female,6/9/2024,Inventory Specialist,Carroll,HQ,Needs Improvement,New York,HIRED,,50,0,63462,1,1,0
25-35,10/30/1993,Buffalo,Operations,H- S,00-29053714,Brett,Brett Rodriguez,Female,5/22/2015,Inventory Specialist,Rodriguez,HQ,Needs Improvement,New York,HIRED,,31,9,56986,1,1,0
45-54,9/21/1971,Buffalo,Operations,H- S,00-37784045,Christy,Christy Stevenson,Female,11/27/2020,Inventory Specialist,Stevenson,HQ,Needs Improvement,New York,HIRED,,53,4,57650,1,1,0
25-35,7/23/1992,Buffalo,Operations,H- S,00-25188734,Dana,Dana Wilson,Female,12/16/2020,Inventory Specialist,Wilson,HQ,Needs Improvement,New York,HIRED,,32,4,60881,1,1,0
55+,1/27/1968,Buffalo,Operations,H- S,00-21403835,David,David Andrade,Female,2/20/2017,Inventory Specialist,Andrade,HQ,Needs Improvement,New York,HIRED,,56,7,61916,1,1,0
45-54,8/8/1975,Buffalo,Operations,H- S,00-42282510,Jennifer,Jennifer Johnson,Female,7/12/2020,Inventory Specialist,Johnson,HQ,Needs Improvement,New York,HIRED,,49,4,58077,1,1,0
45-54,7/23/1978,Buffalo,Operations,H- S,00-60715072,Timothy,Timothy Williams,Female,2/6/2022,Inventory Specialist,Williams,HQ,Needs Improvement,New York,HIRED,,46,2,55885,1,1,0
>25,6/7/2000,New York City,Operations,H- S,00-11582229,Andrew,Andrew Byrd,Female,5/28/2021,Inventory Specialist,Byrd,HQ,Needs Improvement,New York,HIRED,,24,3,54981,1,1,0
25-35,2/21/1992,New York City,Operations,H- S,00-99043272,Brandon,Brandon Schultz,Female,9/18/2020,Inventory Specialist,Schultz,HQ,Needs Improvement,New York,HIRED,,32,4,55948,1,1,0
35-44,4/30/1986,New York City,Operations,H- S,00-95942441,Christine,Christine Sanchez,Female,4/25/2017,Inventory Specialist,Sanchez,HQ,Needs Improvement,New York,HIRED,,38,7,54616,1,1,0
35-44,9/3/1982,New York City,Operations,H- S,00-48893851,Cynthia,Cynthia Wallace,Female,1/5/2021,Inventory Specialist,Wallace,HQ,Needs Improvement,New York,HIRED,,42,3,54505,1,1,0
45-54,1/5/1971,New York City,Operations,H- S,00-13343647,Daniel,Daniel Mora,Female,9/20/2017,Inventory Specialist,Mora,HQ,Needs Improvement,New York,HIRED,,53,7,58052,1,1,0
45-54,12/17/1979,New York City,Operations,H- S,00-33481693,Debra,Debra Watkins,Female,2/27/2017,Inventory Specialist,Watkins,HQ,Needs Improvement,New York,HIRED,,45,7,59138,1,1,0
45-54,5/26/1971,New York City,Operations,H- S,00-89961933,Desiree,Desiree Diaz,Female,9/11/2015,Inventory Specialist,Diaz,HQ,Needs Improvement,New York,HIRED,,53,9,63523,1,1,0
45-54,12/11/1973,New York City,Operations,H- S,00-90353461,Emily,Emily Young,Female,4/20/2024,Inventory Specialist,Young,HQ,Needs Improvement,New York,HIRED,,51,0,59927,1,1,0
55+,11/6/1969,New York City,Operations,H- S,00-94947603,Erica,Erica Sloan,Female,11/5/2019,Inventory Specialist,Sloan,HQ,Needs Improvement,New York,HIRED,,55,5,56747,1,1,0
45-54,10/29/1973,New York City,Operations,H- S,00-18994192,Gerald,Gerald Ruiz,Female,10/26/2016,Inventory Specialist,Ruiz,HQ,Needs Improvement,New York,HIRED,,51,8,67284,1,1,0
55+,10/28/1967,New York City,Operations,H- S,00-66596142,Jennifer,Jennifer Brown,Female,10/4/2016,Inventory Specialist,Brown,HQ,Needs Improvement,New York,HIRED,,57,8,56131,1,1,0
45-54,12/31/1974,New York City,Operations,H- S,00-63031203,Jennifer,Jennifer Fletcher,Female,4/17/2023,Inventory Specialist,Fletcher,HQ,Needs Improvement,New York,HIRED,,50,1,67003,1,1,0
35-44,1/21/1980,New York City,Operations,H- S,00-78793658,Joshua,Joshua Douglas,Female,12/13/2017,Inventory Specialist,Douglas,HQ,Needs Improvement,New York,HIRED,,44,7,63153,1,1,0
35-44,7/3/1987,New York City,Operations,H- S,00-87388161,Margaret,Margaret Marks,Female,1/10/2020,Inventory Specialist,Marks,HQ,Needs Improvement,New York,HIRED,,37,4,61994,1,1,0
35-44,4/23/1985,New York City,Operations,H- S,00-28536762,Melissa,Melissa Galvan,Female,7/21/2018,Inventory Specialist,Galvan,HQ,Needs Improvement,New York,HIRED,,39,6,59177,1,1,0
>25,6/25/2000,New York City,Operations,H- S,00-82343742,Melissa,Melissa Green,Female,10/22/2020,Inventory Specialist,Green,HQ,Needs Improvement,New York,HIRED,,24,4,57235,1,1,0
55+,4/26/1961,New York City,Operations,H- S,00-14181876,Michael,Michael Jacobs,Female,5/24/2017,Inventory Specialist,Jacobs,HQ,Needs Improvement,New York,HIRED,,63,7,63574,1,1,0
35-44,7/4/1983,New York City,Operations,H- S,00-41243272,Nancy,Nancy Burke,Female,2/22/2019,Inventory Specialist,Burke,HQ,Needs Improvement,New York,HIRED,,41,5,60291,1,1,0
55+,5/4/1962,New York City,Operations,H- S,00-90869462,Nicole,Nicole Wood,Female,6/23/2022,Inventory Specialist,Wood,HQ,Needs Improvement,New York,HIRED,,62,2,64349,1,1,0
25-35,10/7/1992,New York City,Operations,H- S,00-77420864,Richard,Richard Smith,Female,3/9/2023,Inventory Specialist,Smith,HQ,Needs Improvement,New York,HIRED,,32,1,61197,1,1,0
55+,5/20/1962,New York City,Operations,H- S,00-59988144,Ryan,Ryan Chavez,Female,8/25/2015,Inventory Specialist,Chavez,HQ,Needs Improvement,New York,HIRED,,62,9,55102,1,1,0
45-54,2/13/1971,New York City,Operations,H- S,00-16159129,Stacy,Stacy Copeland,Female,11/11/2015,Inventory Specialist,Copeland,HQ,Needs Improvement,New York,HIRED,,53,9,67802,1,1,0
45-54,6/10/1977,New York City,Operations,H- S,00-98374850,Stephen,Stephen Gonzales,Female,5/18/2018,Inventory Specialist,Gonzales,HQ,Needs Improvement,New York,HIRED,,47,6,61421,1,1,0
35-44,12/8/1986,New York City,Operations,H- S,00-94361980,Tammy,Tammy Castillo,Female,11/23/2020,Inventory Specialist,Castillo,HQ,Needs Improvement,New York,HIRED,,38,4,58404,1,1,0
45-54,11/5/1970,New York City,Operations,H- S,00-46159360,Tara,Tara Chavez,Female,2/21/2019,Inventory Specialist,Chavez,HQ,Needs Improvement,New York,HIRED,,54,5,62309,1,1,0
25-35,6/15/1997,New York City,Operations,H- S,00-82950883,Tiffany,Tiffany Sanchez,Female,1/18/2022,Inventory Specialist,Sanchez,HQ,Needs Improvement,New York,HIRED,,27,2,61647,1,1,0
45-54,7/18/1973,New York City,Operations,H- S,00-85812116,William,William Hale,Female,8/26/2024,Inventory Specialist,Hale,HQ,Needs Improvement,New York,HIRED,,51,0,64865,1,1,0
35-44,12/9/1981,Rochester,Operations,H- S,00-57941821,Barbara,Barbara Gregory,Female,11/29/2020,Inventory Specialist,Gregory,HQ,Needs Improvement,New York,HIRED,,43,4,58697,1,1,0
>25,1/14/2004,Rochester,Operations,H- S,00-77142220,Christine,Christine Brown,Female,8/18/2024,Inventory Specialist,Brown,HQ,Needs Improvement,New York,HIRED,,20,0,53505,1,1,0
35-44,11/18/1980,Rochester,Operations,H- S,00-91412223,Diane,Diane Hopkins,Female,5/10/2021,Inventory Specialist,Hopkins,HQ,Needs Improvement,New York,HIRED,,44,3,59582,1,1,0
45-54,5/9/1974,Rochester,Operations,H- S,00-30928435,Kelly,Kelly Martin,Female,5/26/2017,Inventory Specialist,Martin,HQ,Needs Improvement,New York,HIRED,,50,7,60811,1,1,0
35-44,5/22/1980,Rochester,Operations,H- S,00-96585062,Linda,Linda Byrd,Female,11/3/2022,Inventory Specialist,Byrd,HQ,Needs Improvement,New York,HIRED,,44,2,55448,1,1,0
>25,6/5/2000,Rochester,Operations,H- S,00-68434539,Linda,Linda Nash,Female,10/31/2024,Inventory Specialist,Nash,HQ,Needs Improvement,New York,HIRED,,24,0,55412,1,1,0
45-54,9/5/1976,Rochester,Operations,H- S,00-26377680,Lisa,Lisa Woods,Female,9/2/2022,Inventory Specialist,Woods,HQ,Needs Improvement,New York,HIRED,,48,2,66769,1,1,0
45-54,5/24/1970,Rochester,Operations,H- S,00-39284333,Sabrina,Sabrina Church,Female,10/6/2016,Inventory Specialist,Church,HQ,Needs Improvement,New York,HIRED,,54,8,56960,1,1,0
35-44,7/5/1988,Charlotte,Operations,H- S,00-30179511,Daniel,Daniel Moyer,Female,6/4/2019,Inventory Specialist,Moyer,BRANCH,Needs Improvement,North Carolina,HIRED,,36,5,52779,1,1,0
>25,8/13/2000,Greensboro,Operations,H- S,00-67762060,Derrick,Derrick Ramirez,Female,9/17/2023,Inventory Specialist,Ramirez,BRANCH,Needs Improvement,North Carolina,HIRED,,24,1,54136,1,1,0
>25,5/26/2002,Allentown,Operations,H- S,00-71343676,Ryan,Ryan Brown,Female,5/9/2023,Inventory Specialist,Brown,BRANCH,Needs Improvement,Pennsylvania,HIRED,,22,1,62771,1,1,0
>25,3/2/2001,Philadelphia,Operations,H- S,00-19150490,Juan,Juan Vasquez,Female,9/28/2023,Inventory Specialist,Vasquez,BRANCH,Needs Improvement,Pennsylvania,HIRED,,23,1,60629,1,1,0
25-35,10/23/1997,Pittsburgh,Operations,H- S,00-44957021,Erin,Erin Murphy,Female,7/27/2019,Inventory Specialist,Murphy,BRANCH,Needs Improvement,Pennsylvania,HIRED,,27,5,57976,1,1,0
55+,12/9/1965,Norfolk,Operations,H- S,00-99304909,Stephanie,Stephanie Watson,Female,8/23/2019,Inventory Specialist,Watson,BRANCH,Needs Improvement,Virginia,HIRED,,59,5,63218,1,1,0
35-44,12/31/1988,Virginia Beach,Operations,H- S,00-67186933,Matthew,Matthew Beard,Female,11/10/2019,Inventory Specialist,Beard,BRANCH,Needs Improvement,Virginia,HIRED,,36,5,64562,1,1,0
25-35,8/24/1997,Virginia Beach,Operations,H- S,00-29413831,Matthew,Matthew Smith,Female,7/2/2021,Inventory Specialist,Smith,BRANCH,Needs Improvement,Virginia,HIRED,,27,3,55475,1,1,0
55+,2/26/1962,Chicago,Customer Service,H- S,00-77572744,Michael,Michael Leach,Female,2/7/2023,Customer Service Representative,Leach,BRANCH,Satisfactory,Illinois,HIRED,,62,1,62096,1,1,0
45-54,9/10/1973,Chicago,Customer Service,H- S,00-47551952,Richard,Richard Torres,Female,9/2/2016,Support Specialist,Torres,BRANCH,Satisfactory,Illinois,HIRED,,51,8,57817,1,1,0
25-35,3/14/1996,Naperville,Customer Service,H- S,00-14614759,Kevin,Kevin Rowland,Female,8/17/2022,Customer Service Representative,Rowland,BRANCH,Satisfactory,Illinois,HIRED,,28,2,60558,1,1,0
35-44,9/16/1986,Detroit,Customer Service,H- S,00-42913766,Tina,Tina Howard,Female,11/29/2018,Help Desk Technician,Howard,BRANCH,Satisfactory,Michigan,HIRED,,38,6,58565,1,1,0
45-54,6/9/1970,Detroit,Customer Service,H- S,00-44660198,Ashley,Ashley Williams,Female,6/4/2024,Support Specialist,Williams,BRANCH,Satisfactory,Michigan,HIRED,,54,0,60418,1,1,0
45-54,4/26/1975,Detroit,Customer Service,H- S,00-40566650,Matthew,Matthew Wong,Female,2/8/2017,Support Specialist,Wong,BRANCH,Satisfactory,Michigan,HIRED,,49,7,62657,1,1,0
45-54,1/9/1970,Detroit,Customer Service,H- S,00-36535401,Timothy,Timothy Spencer,Female,10/4/2022,Support Specialist,Spencer,BRANCH,Satisfactory,Michigan,HIRED,,54,2,61903,1,1,0
25-35,6/22/1991,Grand Rapids,Customer Service,H- S,00-69327130,Patrick,Patrick Williams,Female,1/5/2019,Customer Service Representative,Williams,BRANCH,Satisfactory,Michigan,HIRED,,33,5,62230,1,1,0
35-44,11/30/1985,Grand Rapids,Customer Service,H- S,00-70827518,Rebecca,Rebecca Rangel,Female,12/9/2023,Customer Service Representative,Rangel,BRANCH,Satisfactory,Michigan,HIRED,,39,1,62431,1,1,0
35-44,1/3/1983,Grand Rapids,Customer Service,H- S,00-62111591,Brandon,Brandon Fernandez,Female,6/27/2020,Help Desk Technician,Fernandez,BRANCH,Satisfactory,Michigan,HIRED,,41,4,85113,1,1,0
45-54,4/27/1976,Grand Rapids,Customer Service,H- S,00-17522583,Kevin,Kevin Hardy,Female,5/3/2023,Help Desk Technician,Hardy,BRANCH,Satisfactory,Michigan,HIRED,,48,1,62034,1,1,0
55+,11/29/1965,Grand Rapids,Customer Service,H- S,00-48493103,Samantha,Samantha Carr,Female,12/10/2020,Help Desk Technician,Carr,BRANCH,Satisfactory,Michigan,HIRED,,59,4,54987,1,1,0
45-54,9/11/1978,Grand Rapids,Customer Service,H- S,00-25125464,Sarah,Sarah Hoover,Female,8/10/2015,Help Desk Technician,Hoover,BRANCH,Satisfactory,Michigan,HIRED,,46,9,59599,1,1,0
25-35,5/2/1999,Warren,Customer Service,H- S,00-81835206,Courtney,Courtney Sanchez,Female,8/16/2017,Customer Service Representative,Sanchez,BRANCH,Satisfactory,Michigan,HIRED,,25,7,53842,1,1,0
55+,8/11/1963,Warren,Customer Service,H- S,00-26050250,Donna,Donna Edwards,Female,8/13/2018,Customer Service Representative,Edwards,BRANCH,Satisfactory,Michigan,HIRED,,61,6,62574,1,1,0
35-44,5/14/1981,Warren,Customer Service,H- S,00-52478561,Heather,Heather Contreras,Female,10/26/2020,Help Desk Technician,Contreras,BRANCH,Satisfactory,Michigan,HIRED,,43,4,65143,1,1,0
35-44,11/7/1987,Warren,Customer Service,H- S,00-85160586,Renee,Renee Roberts,Female,4/7/2021,Help Desk Technician,Roberts,BRANCH,Satisfactory,Michigan,HIRED,,37,3,65823,1,1,0
35-44,5/7/1980,Warren,Customer Service,H- S,00-62647572,Kathleen,Kathleen Barnes,Female,8/9/2017,Support Specialist,Barnes,BRANCH,Satisfactory,Michigan,HIRED,,44,7,62201,1,1,0
55+,8/7/1962,Warren,Customer Service,H- S,00-19158638,Raven,Raven Baker,Female,11/18/2016,Support Specialist,Baker,BRANCH,Satisfactory,Michigan,HIRED,,62,8,58975,1,1,0
55+,5/20/1965,Buffalo,Customer Service,H- S,00-41570584,Billy,Billy Lawrence,Female,3/23/2019,Customer Service Representative,Lawrence,HQ,Satisfactory,New York,HIRED,,59,5,58408,1,1,0
25-35,3/22/1993,Buffalo,Customer Service,H- S,00-52630014,Erin,Erin Liu,Female,8/4/2019,Customer Service Representative,Liu,HQ,Satisfactory,New York,HIRED,,31,5,62516,1,1,0
25-35,11/19/1991,Buffalo,Customer Service,H- S,00-89286521,Gregory,Gregory Shelton,Female,9/24/2018,Customer Service Representative,Shelton,HQ,Satisfactory,New York,HIRED,,33,6,63265,1,1,0
35-44,9/28/1984,Buffalo,Customer Service,H- S,00-37097261,Jack,Jack Hart,Female,1/14/2019,Customer Service Representative,Hart,HQ,Satisfactory,New York,HIRED,,40,5,60966,1,1,0
>25,12/7/2003,Buffalo,Customer Service,H- S,00-34823106,Nicholas,Nicholas Hernandez,Female,2/12/2017,Customer Service Representative,Hernandez,HQ,Satisfactory,New York,HIRED,,21,7,61078,1,1,0
45-54,1/3/1979,Buffalo,Customer Service,H- S,00-98538069,Timothy,Timothy Davis,Female,2/13/2022,Customer Service Representative,Davis,HQ,Satisfactory,New York,HIRED,,45,2,63946,1,1,0
45-54,1/26/1971,Buffalo,Customer Service,H- S,00-16401529,Andrew,Andrew Dixon,Female,2/7/2024,Help Desk Technician,Dixon,HQ,Satisfactory,New York,HIRED,,53,0,73459,1,1,0
25-35,7/3/1992,Buffalo,Customer Service,H- S,00-26564869,Darrell,Darrell Torres,Female,8/4/2022,Help Desk Technician,Torres,HQ,Satisfactory,New York,HIRED,,32,2,55674,1,1,0
25-35,1/13/1995,Buffalo,Customer Service,H- S,00-62724203,Dominique,Dominique Reyes,Female,4/29/2016,Help Desk Technician,Reyes,HQ,Satisfactory,New York,HIRED,,29,8,65334,1,1,0
25-35,5/20/1991,Buffalo,Customer Service,H- S,00-91444950,Edward,Edward Archer,Female,7/24/2021,Help Desk Technician,Archer,HQ,Satisfactory,New York,HIRED,,33,3,66703,1,1,0
35-44,9/1/1986,Buffalo,Customer Service,H- S,00-74867809,Jenny,Jenny Gibson,Female,12/11/2017,Help Desk Technician,Gibson,HQ,Satisfactory,New York,HIRED,,38,7,76984,1,1,0
25-35,7/31/1990,Buffalo,Customer Service,H- S,00-81429336,John,John Hunt,Female,2/19/2017,Help Desk Technician,Hunt,HQ,Satisfactory,New York,HIRED,,34,7,76873,1,1,0
25-35,5/10/1995,Buffalo,Customer Service,H- S,00-97486496,Kimberly,Kimberly Mercado,Female,3/23/2024,Help Desk Technician,Mercado,HQ,Satisfactory,New York,HIRED,,29,0,56532,1,1,0
35-44,1/11/1983,Buffalo,Customer Service,H- S,00-40283277,Brittany,Brittany Gray,Female,9/19/2024,Support Specialist,Gray,HQ,Satisfactory,New York,HIRED,,41,0,59432,1,1,0
45-54,7/9/1979,Buffalo,Customer Service,H- S,00-68985501,Drew,Drew Jones,Female,11/21/2024,Support Specialist,Jones,HQ,Satisfactory,New York,HIRED,,45,0,63150,1,1,0
55+,2/3/1965,Buffalo,Customer Service,H- S,00-76742957,Glenn,Glenn Taylor,Female,8/4/2017,Support Specialist,Taylor,HQ,Satisfactory,New York,HIRED,,59,7,66052,1,1,0
35-44,10/8/1986,Buffalo,Customer Service,H- S,00-93464930,Jason,Jason Castro,Female,12/24/2023,Support Specialist,Castro,HQ,Satisfactory,New York,HIRED,,38,1,61592,1,1,0
45-54,8/26/1976,Buffalo,Customer Service,H- S,00-52196444,Joe,Joe Koch,Female,7/11/2017,Support Specialist,Koch,HQ,Satisfactory,New York,HIRED,,48,7,60080,1,1,0
35-44,7/18/1985,Buffalo,Customer Service,H- S,00-76513956,Juan,Juan Conway,Female,10/2/2023,Support Specialist,Conway,HQ,Satisfactory,New York,HIRED,,39,1,58981,1,1,0
45-54,9/5/1970,Buffalo,Customer Service,H- S,00-94830279,Paul,Paul Weaver,Female,9/23/2023,Support Specialist,Weaver,HQ,Satisfactory,New York,HIRED,,54,1,60603,1,1,0
55+,5/9/1964,Buffalo,Customer Service,H- S,00-10691813,Robert,Robert Woodard,Female,10/1/2018,Support Specialist,Woodard,HQ,Satisfactory,New York,HIRED,,60,6,61344,1,1,0
45-54,7/3/1978,Buffalo,Customer Service,H- S,00-86183158,Sean,Sean Brown,Female,12/9/2023,Support Specialist,Brown,HQ,Satisfactory,New York,HIRED,,46,1,60946,1,1,0
35-44,10/10/1984,New York City,Customer Service,H- S,00-31206894,Cynthia,Cynthia Poole,Female,1/29/2024,Customer Service Representative,Poole,HQ,Satisfactory,New York,HIRED,,40,0,61141,1,1,0
25-35,6/5/1999,New York City,Customer Service,H- S,00-12524153,Isaac,Isaac Stark,Female,5/9/2023,Customer Service Representative,Stark,HQ,Satisfactory,New York,HIRED,,25,1,56977,1,1,0
35-44,10/30/1988,New York City,Customer Service,H- S,00-22138251,Jennifer,Jennifer Burch,Female,5/17/2019,Customer Service Representative,Burch,HQ,Satisfactory,New York,HIRED,,36,5,59087,1,1,0
25-35,5/5/1991,New York City,Customer Service,H- S,00-17634560,Mindy,Mindy Kane,Female,3/29/2024,Customer Service Representative,Kane,HQ,Satisfactory,New York,HIRED,,33,0,53662,1,1,0
45-54,2/6/1971,New York City,Customer Service,H- S,00-78878589,Miranda,Miranda Burton,Female,7/4/2023,Customer Service Representative,Burton,HQ,Satisfactory,New York,HIRED,,53,1,61120,1,1,0
45-54,6/13/1973,New York City,Customer Service,H- S,00-96996261,Susan,Susan Roberts,Female,3/11/2020,Customer Service Representative,Roberts,HQ,Satisfactory,New York,HIRED,,51,4,56954,1,1,0
>25,3/10/2001,New York City,Customer Service,H- S,00-54696127,Carlos,Carlos Franco,Female,7/7/2017,Help Desk Technician,Franco,HQ,Satisfactory,New York,HIRED,,23,7,57201,1,1,0
35-44,7/18/1984,New York City,Customer Service,H- S,00-15078212,Emily,Emily Henderson,Female,5/16/2022,Help Desk Technician,Henderson,HQ,Satisfactory,New York,HIRED,,40,2,79954,1,1,0
45-54,12/15/1979,New York City,Customer Service,H- S,00-33898911,Jeffrey,Jeffrey Powers,Female,3/20/2018,Help Desk Technician,Powers,HQ,Satisfactory,New York,HIRED,,45,6,79954,1,1,0
45-54,1/20/1975,New York City,Customer Service,H- S,00-98614357,Jonathan,Jonathan Peterson,Female,5/18/2017,Help Desk Technician,Peterson,HQ,Satisfactory,New York,HIRED,,49,7,75914,1,1,0
35-44,6/26/1983,New York City,Customer Service,H- S,00-85836526,Kristin,Kristin Franco,Female,8/30/2017,Help Desk Technician,Franco,HQ,Satisfactory,New York,HIRED,,41,7,72938,1,1,0
45-54,1/24/1978,New York City,Customer Service,H- S,00-65707393,Nicole,Nicole Ray,Female,12/11/2017,Help Desk Technician,Ray,HQ,Satisfactory,New York,HIRED,,46,7,82127,1,1,0
35-44,12/3/1986,New York City,Customer Service,H- S,00-51829207,Olivia,Olivia Buchanan,Female,2/14/2017,Help Desk Technician,Buchanan,HQ,Satisfactory,New York,HIRED,,38,7,77645,1,1,0
35-44,8/27/1984,New York City,Customer Service,H- S,00-47733231,William,William Hernandez,Female,6/26/2022,Help Desk Technician,Hernandez,HQ,Satisfactory,New York,HIRED,,40,2,77684,1,1,0
45-54,4/19/1976,New York City,Customer Service,H- S,00-50812122,William,William Martinez,Female,10/21/2019,Help Desk Technician,Martinez,HQ,Satisfactory,New York,HIRED,,48,5,61236,1,1,0
45-54,8/8/1974,New York City,Customer Service,H- S,00-92920642,Barbara,Barbara Maxwell,Female,10/11/2023,Support Specialist,Maxwell,HQ,Satisfactory,New York,HIRED,,50,1,61887,1,1,0
55+,7/30/1960,New York City,Customer Service,H- S,00-54870630,Brendan,Brendan Williams,Female,5/18/2023,Support Specialist,Williams,HQ,Satisfactory,New York,HIRED,,64,1,62131,1,1,0
45-54,4/12/1979,New York City,Customer Service,H- S,00-50056450,Carolyn,Carolyn Melton,Female,4/19/2022,Support Specialist,Melton,HQ,Satisfactory,New York,HIRED,,45,2,56564,1,1,0
25-35,5/19/1990,New York City,Customer Service,H- S,00-21123747,Christine,Christine Gardner,Female,2/15/2016,Support Specialist,Gardner,HQ,Satisfactory,New York,HIRED,,34,8,53065,1,1,0
35-44,8/29/1984,New York City,Customer Service,H- S,00-86793756,Christopher,Christopher Parker,Female,6/8/2023,Support Specialist,Parker,HQ,Satisfactory,New York,HIRED,,40,1,53983,1,1,0
>25,4/6/2004,New York City,Customer Service,H- S,00-37636546,Claudia,Claudia Mitchell,Female,2/2/2018,Support Specialist,Mitchell,HQ,Satisfactory,New York,HIRED,,20,6,57943,1,1,0
35-44,9/30/1980,New York City,Customer Service,H- S,00-43375495,Donald,Donald Lee,Female,12/29/2023,Support Specialist,Lee,HQ,Satisfactory,New York,HIRED,,44,1,58882,1,1,0
35-44,2/6/1988,New York City,Customer Service,H- S,00-58310598,Joe,Joe Stevens,Female,2/26/2020,Support Specialist,Stevens,HQ,Satisfactory,New York,HIRED,,36,4,53735,1,1,0
>25,2/19/2002,New York City,Customer Service,H- S,00-77900294,John,John Williams,Female,5/2/2020,Support Specialist,Williams,HQ,Satisfactory,New York,HIRED,,22,4,55160,1,1,0
>25,7/20/2001,New York City,Customer Service,H- S,00-67953319,Michael,Michael Perkins,Female,4/1/2021,Support Specialist,Perkins,HQ,Satisfactory,New York,HIRED,,23,3,54816,1,1,0
35-44,6/5/1984,Rochester,Customer Service,H- S,00-26381779,Amber,Amber Reynolds,Female,8/26/2020,Customer Service Representative,Reynolds,HQ,Satisfactory,New York,HIRED,,40,4,59241,1,1,0
35-44,10/5/1985,Rochester,Customer Service,H- S,00-97143176,Ian,Ian Baker,Female,5/31/2023,Customer Service Representative,Baker,HQ,Satisfactory,New York,HIRED,,39,1,62886,1,1,0
45-54,3/24/1975,Rochester,Customer Service,H- S,00-38215122,Joseph,Joseph Thompson,Female,1/18/2015,Customer Service Representative,Thompson,HQ,Satisfactory,New York,HIRED,,49,9,54874,1,1,0
35-44,6/7/1986,Rochester,Customer Service,H- S,00-62698503,Kim,Kim Anderson,Female,2/22/2017,Customer Service Representative,Anderson,HQ,Satisfactory,New York,HIRED,,38,7,62813,1,1,0
